DateTime,Consumption kWh,Off-peak,Mid-peak,On-peak
12/06/2011 01:00:00,0.3,1,0,0
12/06/2011 02:00:00,0.27,1,0,0
12/06/2011 03:00:00,0.28,1,0,0
12/06/2011 04:00:00,0.31,1,0,0
12/06/2011 05:00:00,0.3,1,0,0
12/06/2011 06:00:00,0.28,1,0,0
12/06/2011 07:00:00,0.31,1,0,0
12/06/2011 08:00:00,0.34,0,0,1
12/06/2011 09:00:00,0.28,0,0,1
12/06/2011 10:00:00,1.11,0,0,1
12/06/2011 11:00:00,1.62,0,0,1
12/06/2011 12:00:00,0.93,0,1,0
12/06/2011 13:00:00,0.36,0,1,0
12/06/2011 14:00:00,0.27,0,1,0
12/06/2011 15:00:00,0.34,0,1,0
12/06/2011 16:00:00,0.5,0,1,0
12/06/2011 17:00:00,0.35,0,1,0
12/06/2011 18:00:00,0.4,0,0,1
12/06/2011 19:00:00,0.48,0,0,1
12/06/2011 20:00:00,0.46,1,0,0
12/06/2011 21:00:00,0.45,1,0,0
12/06/2011 22:00:00,0.5,1,0,0
12/06/2011 23:00:00,0.48,1,0,0
12/06/2011 00:00:00,0.41,1,0,0
12/07/2011 01:00:00,0.33,1,0,0
12/07/2011 02:00:00,0.28,1,0,0
12/07/2011 03:00:00,0.29,1,0,0
12/07/2011 04:00:00,0.3,1,0,0
12/07/2011 05:00:00,0.31,1,0,0
12/07/2011 06:00:00,0.28,1,0,0
12/07/2011 07:00:00,0.4,1,0,0
12/07/2011 08:00:00,0.29,0,0,1
12/07/2011 09:00:00,0.27,0,0,1
12/07/2011 10:00:00,0.33,0,0,1
12/07/2011 11:00:00,0.36,0,0,1
12/07/2011 12:00:00,1.82,0,1,0
12/07/2011 13:00:00,0.37,0,1,0
12/07/2011 14:00:00,0.29,0,1,0
12/07/2011 15:00:00,0.33,0,1,0
12/07/2011 16:00:00,0.39,0,1,0
12/07/2011 17:00:00,0.34,0,1,0
12/07/2011 18:00:00,0.43,0,0,1
12/07/2011 19:00:00,0.39,0,0,1
12/07/2011 20:00:00,0.37,1,0,0
12/07/2011 21:00:00,0.44,1,0,0
12/07/2011 22:00:00,0.43,1,0,0
12/07/2011 23:00:00,0.54,1,0,0
12/07/2011 00:00:00,0.4,1,0,0
12/08/2011 01:00:00,0.32,1,0,0
12/08/2011 02:00:00,0.3,1,0,0
12/08/2011 03:00:00,0.38,1,0,0
12/08/2011 04:00:00,0.31,1,0,0
12/08/2011 05:00:00,0.3,1,0,0
12/08/2011 06:00:00,0.29,1,0,0
12/08/2011 07:00:00,0.38,1,0,0
12/08/2011 08:00:00,0.28,0,0,1
12/08/2011 09:00:00,0.3,0,0,1
12/08/2011 10:00:00,0.34,0,0,1
12/08/2011 11:00:00,1.15,0,0,1
12/08/2011 12:00:00,1.36,0,1,0
12/08/2011 13:00:00,0.32,0,1,0
12/08/2011 14:00:00,0.27,0,1,0
12/08/2011 15:00:00,0.29,0,1,0
12/08/2011 16:00:00,0.4,0,1,0
12/08/2011 17:00:00,0.36,0,1,0
12/08/2011 18:00:00,0.43,0,0,1
12/08/2011 19:00:00,0.42,0,0,1
12/08/2011 20:00:00,0.31,1,0,0
12/08/2011 21:00:00,0.36,1,0,0
12/08/2011 22:00:00,0.41,1,0,0
12/08/2011 23:00:00,0.4,1,0,0
12/08/2011 00:00:00,0.32,1,0,0
12/09/2011 01:00:00,0.28,1,0,0
12/09/2011 02:00:00,0.27,1,0,0
12/09/2011 03:00:00,0.25,1,0,0
12/09/2011 04:00:00,0.29,1,0,0
12/09/2011 05:00:00,0.29,1,0,0
12/09/2011 06:00:00,0.26,1,0,0
12/09/2011 07:00:00,0.33,1,0,0
12/09/2011 08:00:00,0.34,0,0,1
12/09/2011 09:00:00,0.28,0,0,1
12/09/2011 10:00:00,0.4,0,0,1
12/09/2011 11:00:00,0.33,0,0,1
12/09/2011 12:00:00,0.39,0,1,0
12/09/2011 13:00:00,0.4,0,1,0
12/09/2011 14:00:00,0.27,0,1,0
12/09/2011 15:00:00,0.34,0,1,0
12/09/2011 16:00:00,0.42,0,1,0
12/09/2011 17:00:00,0.37,0,1,0
12/09/2011 18:00:00,0.32,0,0,1
12/09/2011 19:00:00,0.29,0,0,1
12/09/2011 20:00:00,0.34,1,0,0
12/09/2011 21:00:00,0.28,1,0,0
12/09/2011 22:00:00,0.29,1,0,0
12/09/2011 23:00:00,0.31,1,0,0
12/09/2011 00:00:00,0.3,1,0,0
12/10/2011 01:00:00,0.31,1,0,0
12/10/2011 02:00:00,0.27,1,0,0
12/10/2011 03:00:00,0.26,1,0,0
12/10/2011 04:00:00,0.28,1,0,0
12/10/2011 05:00:00,0.28,1,0,0
12/10/2011 06:00:00,0.27,1,0,0
12/10/2011 07:00:00,0.28,1,0,0
